NFT #;Type;Hotel;Place;Experience;Night;Surprise
741;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
742;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
743;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
744;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
745;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
746;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
747;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
748;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
749;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
750;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
751;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
752;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
753;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
754;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
755;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
756;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
757;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
758;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
759;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
760;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
761;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
762;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
763;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
764;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
765;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
766;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
767;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
768;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
769;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
770;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
771;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
772;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
773;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
774;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
775;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
776;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
777;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
778;Silver - Very rare; LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;5;Yes
779;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
780;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
781;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
782;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
783;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
784;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
785;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
786;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
787;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
788;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
789;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
790;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
791;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
792;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
793;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
794;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
795;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
796;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
797;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
798;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
799;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
800;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
801;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
802;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
803;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
804;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
805;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
806;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
807;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
808;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
809;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
810;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
811;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
812;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
813;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
814;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
815;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
816;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
817;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
818;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
819;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
820;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
821;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
822;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
823;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
824;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
825;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
826;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
827;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
828;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
829;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
830;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
831;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
832;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
833;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
834;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
835;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
836;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
837;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
838;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
839;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
840;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
841;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
842;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
843;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
844;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
845;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
846;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
847;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
848;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
849;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
850;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
851;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
852;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
853;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
854;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
855;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
856;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
857;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
858;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
859;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
860;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
861;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
862;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
863;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
864;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
865;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
866;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
867;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
868;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
869;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
870;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
871;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
872;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
873;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
874;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
875;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
876;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
877;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
878;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
879;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
880;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
881;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
882;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
883;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
884;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
885;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
886;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
887;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
888;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
889;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
890;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
891;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
892;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
893;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
894;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
895;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
896;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
897;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
898;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
899;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
900;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
901;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
902;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
903;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
904;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
905;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
906;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
907;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
908;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
909;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
910;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
911;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
912;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
913;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
914;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
915;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
916;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
917;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
918;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
919;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
920;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
921;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
922;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
923;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
924;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
925;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
926;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
927;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
928;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
929;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
930;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
931;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
932;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
933;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
934;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
935;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
936;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
937;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
938;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
939;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
940;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
941;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
942;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
943;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
944;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
945;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
946;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
947;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
948;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
949;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
950;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
951;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
952;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
953;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
954;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
955;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
956;Gold - Very rare;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;5;Yes
957;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
958;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
959;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
960;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
961;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
962;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
963;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
964;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
965;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
966;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
967;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
968;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
969;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
970;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
971;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
972;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
973;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
974;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
975;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
976;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
977;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
978;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
979;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
980;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
981;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
982;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
983;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
984;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
985;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
986;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
987;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
988;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
989;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
990;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
991;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
992;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
993;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
994;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
995;Standard;LUX* Le Morne;Mauritius;Private dolphin swimming trip;2;Yes
996;Standard;LUX* Grand Baie;Mauritius;Rooftop over the Indian Ocean all to yourself;1;Yes
997;Standard;LUX* Grand Gaube;Mauritius;Traditional pirogue boating experience to an islet;2;Yes
998;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
999;Standard;LUX* South Ari Atoll;Maldives;Private whale shark trip with a Marine Biologist;1;Yes
